show_id,type,title,director,country,date_added,release_year,rating,duration
s71,Movie,Title_71,Anurag Kashyap,,2019-08-20,2008,R,90 min
s72,Movie,Title_72,Anurag Kashyap,India,2019-08-20,2004,TV-MA,2 Seasons
s73,Movie,Title_73,,UK,,2018,TV-MA,2 Seasons
s74,TV Show,Title_74,Raj Kumar,,2021-05-10,2005,,
s75,TV Show,Title_75,,,2020-01-01,2017,PG,1 Season
s76,Movie,Title_76,,,2021-05-10,2014,TV-14,2 Seasons
s77,TV Show,Title_77,,,2019-08-20,2015,PG,1 Season
s78,TV Show,Title_78,Christopher Nolan,India,2019-08-20,2013,PG,1 Season
s79,Movie,Title_79,Raj Kumar,UK,2020-01-01,2005,TV-14,2 Seasons
s80,Movie,Title_80,Anurag Kashyap,Canada,,2023,R,
s81,TV Show,Title_81,Raj Kumar,,2020-01-01,2021,R,2 Seasons
s82,Movie,Title_82,Christopher Nolan,India,2021-05-10,2022,TV-MA,
s83,Movie,Title_83,Christopher Nolan,Canada,2021-05-10,1995,TV-MA,1 Season
s84,TV Show,Title_84,,UK,2020-01-01,2012,R,1 Season
s85,Movie,Title_85,Raj Kumar,,,2017,TV-MA,90 min
s86,TV Show,Title_86,Raj Kumar,Canada,2021-05-10,2004,,
s87,TV Show,Title_87,Raj Kumar,United States,2019-08-20,2003,,90 min
s88,TV Show,Title_88,Raj Kumar,India,2021-05-10,2004,TV-MA,90 min
s89,TV Show,Title_89,Anurag Kashyap,UK,2019-08-20,2003,TV-14,2 Seasons
s90,TV Show,Title_90,,Canada,,2001,TV-MA,1 Season
s91,Movie,Title_91,Raj Kumar,UK,2020-01-01,2007,,
s92,TV Show,Title_92,Anurag Kashyap,Canada,2021-05-10,2002,TV-MA,90 min
s93,Movie,Title_93,Christopher Nolan,Canada,2019-08-20,2012,TV-MA,
s94,Movie,Title_94,Raj Kumar,United States,2019-08-20,2011,,90 min
s95,TV Show,Title_95,Christopher Nolan,Canada,2021-05-10,2017,PG,2 Seasons
s96,Movie,Title_96,Christopher Nolan,India,,1999,TV-14,2 Seasons
s97,TV Show,Title_97,,,2020-01-01,2005,R,2 Seasons
s98,TV Show,Title_98,,,2021-05-10,2018,TV-14,90 min
s99,TV Show,Title_99,Anurag Kashyap,Canada,,2010,TV-MA,
s100,Movie,Title_100,Raj Kumar,UK,2021-05-10,2000,R,2 Seasons
s101,TV Show,Title_101,Raj Kumar,UK,2019-08-20,2010,PG,2 Seasons
s102,TV Show,Title_102,Anurag Kashyap,,2021-05-10,1998,,2 Seasons
s103,Movie,Title_103,Anurag Kashyap,United States,2020-01-01,2021,R,1 Season
s104,TV Show,Title_104,Anurag Kashyap,,2021-05-10,2006,TV-14,2 Seasons
s105,Movie,Title_105,Raj Kumar,United States,,2008,TV-14,90 min
s106,Movie,Title_106,Christopher Nolan,,2021-05-10,2008,,2 Seasons
s107,Movie,Title_107,Anurag Kashyap,Canada,2019-08-20,2013,TV-MA,
s108,TV Show,Title_108,Raj Kumar,United States,2021-05-10,2014,PG,
s109,TV Show,Title_109,Raj Kumar,India,2019-08-20,2018,R,2 Seasons
s110,Movie,Title_110,Anurag Kashyap,UK,2019-08-20,2022,PG,
s111,Movie,Title_111,Anurag Kashyap,Canada,2020-01-01,2012,TV-MA,90 min
s112,Movie,Title_112,,,2021-05-10,2009,R,2 Seasons
s113,TV Show,Title_113,Anurag Kashyap,India,2021-05-10,2013,TV-14,1 Season
s114,TV Show,Title_114,Anurag Kashyap,,,2008,TV-14,2 Seasons
s115,TV Show,Title_115,,UK,2020-01-01,2016,R,
s116,TV Show,Title_116,Christopher Nolan,,,2015,R,90 min
s117,Movie,Title_117,,UK,,2023,TV-14,
s118,TV Show,Title_118,,India,2019-08-20,2008,,2 Seasons
s119,Movie,Title_119,Raj Kumar,UK,2020-01-01,2007,TV-MA,90 min
s120,Movie,Title_120,Raj Kumar,Canada,2020-01-01,2005,TV-14,90 min
s121,TV Show,Title_121,,India,,2000,TV-MA,2 Seasons
s122,TV Show,Title_122,,,2021-05-10,2022,,90 min
s123,Movie,Title_123,Raj Kumar,,2020-01-01,1996,R,
s124,TV Show,Title_124,,United States,2019-08-20,2004,R,2 Seasons
s125,Movie,Title_125,Christopher Nolan,UK,,2013,PG,90 min
s126,TV Show,Title_126,,UK,2020-01-01,2010,PG,
s127,Movie,Title_127,Christopher Nolan,,2019-08-20,2017,TV-14,
s128,TV Show,Title_128,,,2020-01-01,2014,TV-MA,
s129,Movie,Title_129,Anurag Kashyap,Canada,2019-08-20,1997,TV-14,2 Seasons
s130,TV Show,Title_130,Christopher Nolan,United States,,2022,TV-14,
s131,Movie,Title_131,,United States,2019-08-20,2002,,90 min
s132,Movie,Title_132,Anurag Kashyap,India,2020-01-01,2006,TV-MA,2 Seasons
s133,TV Show,Title_133,,Canada,2021-05-10,1995,PG,2 Seasons
s134,Movie,Title_134,,,,1995,PG,90 min
s135,TV Show,Title_135,Anurag Kashyap,UK,2020-01-01,2000,TV-14,
s136,Movie,Title_136,,UK,,2000,,90 min
s137,Movie,Title_137,Raj Kumar,Canada,2021-05-10,2021,,1 Season
s138,TV Show,Title_138,Raj Kumar,UK,,1997,PG,
s139,TV Show,Title_139,Christopher Nolan,UK,2021-05-10,2013,TV-MA,2 Seasons
s140,TV Show,Title_140,Christopher Nolan,,2020-01-01,1997,PG,1 Season
s141,TV Show,Title_141,Raj Kumar,India,2020-01-01,2008,,1 Season
s142,Movie,Title_142,,Canada,2021-05-10,2000,TV-MA,
s143,Movie,Title_143,,Canada,2020-01-01,2000,R,1 Season
s144,Movie,Title_144,,,2019-08-20,2007,TV-14,90 min
s145,TV Show,Title_145,Raj Kumar,UK,2021-05-10,2001,PG,2 Seasons
s146,Movie,Title_146,Christopher Nolan,UK,2021-05-10,2013,TV-MA,
s147,TV Show,Title_147,Christopher Nolan,United States,2020-01-01,1999,TV-14,2 Seasons
s148,TV Show,Title_148,Raj Kumar,UK,2020-01-01,2003,TV-MA,1 Season
s149,TV Show,Title_149,Raj Kumar,United States,2021-05-10,2009,TV-MA,2 Seasons
s150,TV Show,Title_150,,India,2021-05-10,2003,R,1 Season
s151,Movie,Title_151,Raj Kumar,,,2005,TV-MA,
s152,Movie,Title_152,,India,,2014,,90 min
s153,Movie,Title_153,,India,2021-05-10,2009,,90 min
s154,TV Show,Title_154,Raj Kumar,United States,,1995,PG,1 Season
s155,TV Show,Title_155,,United States,2020-01-01,2006,TV-MA,2 Seasons
s156,Movie,Title_156,,,2021-05-10,1998,,90 min
s157,TV Show,Title_157,,UK,2021-05-10,2010,,
s158,Movie,Title_158,Christopher Nolan,Canada,,2011,TV-14,1 Season
s159,TV Show,Title_159,Raj Kumar,,2020-01-01,2014,PG,90 min
s160,TV Show,Title_160,Anurag Kashyap,United States,,2008,R,2 Seasons
s161,TV Show,Title_161,,,2019-08-20,2009,TV-14,2 Seasons
s162,Movie,Title_162,Christopher Nolan,,,2001,TV-14,1 Season
s163,Movie,Title_163,,India,,2001,,1 Season
s164,TV Show,Title_164,,United States,2020-01-01,1996,,1 Season
s165,TV Show,Title_165,Raj Kumar,United States,2019-08-20,2018,PG,
s166,Movie,Title_166,Raj Kumar,India,,2015,TV-MA,2 Seasons
s167,Movie,Title_167,Christopher Nolan,United States,2019-08-20,1997,TV-MA,90 min
s168,Movie,Title_168,,India,,2009,TV-MA,90 min
s169,TV Show,Title_169,Christopher Nolan,Canada,2020-01-01,2012,TV-MA,
s170,TV Show,Title_170,Anurag Kashyap,Canada,2019-08-20,2011,TV-14,90 min
s171,TV Show,Title_171,Christopher Nolan,United States,2021-05-10,2001,R,90 min
s172,Movie,Title_172,Anurag Kashyap,UK,2021-05-10,2008,,1 Season
s173,Movie,Title_173,,India,2020-01-01,2017,R,
s174,TV Show,Title_174,Anurag Kashyap,UK,2020-01-01,2011,PG,1 Season
s175,Movie,Title_175,Raj Kumar,UK,,1999,R,2 Seasons
s176,TV Show,Title_176,,,2019-08-20,2019,TV-MA,1 Season
s177,TV Show,Title_177,,Canada,2021-05-10,2020,PG,90 min
s178,Movie,Title_178,,UK,2019-08-20,2020,,1 Season
s179,Movie,Title_179,,UK,2020-01-01,2015,PG,1 Season
s180,Movie,Title_180,,,,2008,TV-MA,1 Season
s181,Movie,Title_181,,Canada,2019-08-20,2015,,90 min
s182,Movie,Title_182,Raj Kumar,United States,2019-08-20,2011,PG,90 min
s183,TV Show,Title_183,,India,,2008,R,
s184,Movie,Title_184,Raj Kumar,UK,2020-01-01,2001,PG,1 Season
s185,TV Show,Title_185,,,,2002,,90 min
s186,TV Show,Title_186,Christopher Nolan,United States,2021-05-10,2002,TV-14,90 min
s187,TV Show,Title_187,,Canada,,2013,PG,1 Season
s188,TV Show,Title_188,Raj Kumar,India,,2002,TV-14,90 min
s189,Movie,Title_189,Christopher Nolan,UK,2021-05-10,2011,TV-MA,1 Season
s190,Movie,Title_190,Raj Kumar,,2021-05-10,2004,PG,1 Season
s191,Movie,Title_191,Anurag Kashyap,UK,2019-08-20,2015,TV-MA,
s192,TV Show,Title_192,Raj Kumar,Canada,,2005,R,1 Season
s193,Movie,Title_193,,,2019-08-20,2021,TV-MA,1 Season
s194,TV Show,Title_194,Anurag Kashyap,India,2019-08-20,2017,PG,90 min
s195,Movie,Title_195,Christopher Nolan,Canada,,2012,TV-14,
s196,TV Show,Title_196,,United States,,2023,TV-MA,2 Seasons
s197,Movie,Title_197,Raj Kumar,UK,2021-05-10,2007,,1 Season
s198,TV Show,Title_198,,India,2019-08-20,2014,PG,1 Season
s199,Movie,Title_199,,,2019-08-20,1996,TV-14,
s200,Movie,Title_200,Christopher Nolan,UK,,1998,,1 Season
s201,Movie,Title_201,Anurag Kashyap,UK,2020-01-01,2005,TV-14,1 Season
s202,TV Show,Title_202,Raj Kumar,UK,,1996,TV-14,90 min
s203,TV Show,Title_203,,United States,2020-01-01,2000,TV-14,90 min
s204,Movie,Title_204,Anurag Kashyap,Canada,2019-08-20,1995,,1 Season
s205,Movie,Title_205,Anurag Kashyap,India,2019-08-20,2014,TV-MA,1 Season
s206,TV Show,Title_206,Raj Kumar,UK,2020-01-01,1997,PG,90 min
s207,Movie,Title_207,,Canada,2019-08-20,2000,TV-MA,
s208,Movie,Title_208,,,,2015,TV-14,1 Season
s209,TV Show,Title_209,,United States,2021-05-10,2011,R,1 Season
s210,TV Show,Title_210,Raj Kumar,India,2020-01-01,2012,PG,
s211,TV Show,Title_211,Anurag Kashyap,,2019-08-20,2019,R,2 Seasons
s212,TV Show,Title_212,Raj Kumar,,2020-01-01,2021,TV-MA,
s213,TV Show,Title_213,,India,2019-08-20,2003,R,90 min
s214,TV Show,Title_214,Christopher Nolan,United States,2021-05-10,2009,,
s215,Movie,Title_215,,India,2021-05-10,2009,,1 Season
s216,TV Show,Title_216,Anurag Kashyap,,2020-01-01,2017,TV-MA,90 min
s217,TV Show,Title_217,Anurag Kashyap,Canada,2020-01-01,2019,R,
s218,TV Show,Title_218,,UK,2021-05-10,2022,TV-14,2 Seasons
s219,TV Show,Title_219,,United States,2020-01-01,2016,TV-MA,1 Season
s220,TV Show,Title_220,,India,,2017,TV-MA,
s221,Movie,Title_221,Anurag Kashyap,Canada,2020-01-01,2019,,
s222,TV Show,Title_222,,UK,2019-08-20,2023,PG,90 min
s223,Movie,Title_223,,UK,2021-05-10,1997,PG,
s224,TV Show,Title_224,,India,,2023,R,1 Season
s225,TV Show,Title_225,Christopher Nolan,United States,2020-01-01,2011,R,90 min
s226,TV Show,Title_226,Christopher Nolan,UK,2020-01-01,2005,PG,
s227,TV Show,Title_227,Raj Kumar,Canada,2021-05-10,2001,,
s228,Movie,Title_228,Raj Kumar,UK,2020-01-01,2007,,
s229,TV Show,Title_229,Raj Kumar,United States,,2008,R,1 Season
s230,TV Show,Title_230,,India,2020-01-01,1996,TV-MA,1 Season
s231,Movie,Title_231,Raj Kumar,Canada,,2017,TV-14,2 Seasons
s232,Movie,Title_232,,Canada,,2023,R,
s233,Movie,Title_233,Christopher Nolan,India,,1999,R,1 Season
s234,Movie,Title_234,Raj Kumar,UK,2019-08-20,2010,,
s235,Movie,Title_235,Anurag Kashyap,UK,2019-08-20,2021,TV-14,90 min
s236,TV Show,Title_236,Anurag Kashyap,United States,2019-08-20,2016,TV-14,2 Seasons
s237,TV Show,Title_237,Anurag Kashyap,Canada,,2007,TV-MA,2 Seasons
s238,TV Show,Title_238,Anurag Kashyap,United States,2020-01-01,2022,TV-MA,
s239,TV Show,Title_239,Anurag Kashyap,Canada,2019-08-20,2012,TV-MA,90 min
s240,Movie,Title_240,,India,2021-05-10,2012,TV-14,90 min
s241,Movie,Title_241,,India,,2018,TV-MA,
s242,Movie,Title_242,Raj Kumar,UK,,2004,,2 Seasons
s243,Movie,Title_243,,Canada,,2013,PG,90 min
s244,TV Show,Title_244,Christopher Nolan,UK,2020-01-01,2005,R,1 Season
s245,TV Show,Title_245,,,2019-08-20,2009,TV-MA,90 min
s246,Movie,Title_246,Anurag Kashyap,United States,2020-01-01,1997,TV-MA,1 Season
s247,TV Show,Title_247,Christopher Nolan,,2019-08-20,1996,TV-14,1 Season
s248,Movie,Title_248,,,2019-08-20,2012,R,1 Season
s249,Movie,Title_249,,India,2021-05-10,2016,R,90 min
s250,Movie,Title_250,Anurag Kashyap,United States,,2013,TV-MA,1 Season
s251,Movie,Title_251,,India,2020-01-01,1997,TV-MA,90 min
s252,TV Show,Title_252,,United States,2020-01-01,2007,PG,
s253,Movie,Title_253,Anurag Kashyap,United States,2019-08-20,2006,R,1 Season
s254,Movie,Title_254,,United States,2020-01-01,2004,TV-MA,2 Seasons
s255,Movie,Title_255,,UK,2021-05-10,2002,,1 Season
s256,TV Show,Title_256,,India,2021-05-10,2008,R,1 Season
s257,TV Show,Title_257,Christopher Nolan,United States,,2022,TV-14,2 Seasons
s258,TV Show,Title_258,Raj Kumar,,2021-05-10,2018,TV-MA,90 min
s259,Movie,Title_259,,United States,2021-05-10,2017,TV-MA,
s260,TV Show,Title_260,Raj Kumar,UK,2020-01-01,2017,TV-MA,2 Seasons
s261,Movie,Title_261,,,2021-05-10,1999,,2 Seasons
s262,Movie,Title_262,,,,2010,TV-MA,2 Seasons
s263,Movie,Title_263,,Canada,,1996,R,2 Seasons
s264,Movie,Title_264,,India,,2001,TV-14,
s265,Movie,Title_265,Christopher Nolan,UK,2021-05-10,2015,PG,
s266,Movie,Title_266,Raj Kumar,India,2021-05-10,2012,R,
s267,Movie,Title_267,Raj Kumar,,2019-08-20,2019,TV-14,2 Seasons
s268,Movie,Title_268,,UK,2020-01-01,2010,PG,
s269,TV Show,Title_269,Anurag Kashyap,United States,2019-08-20,1995,TV-14,1 Season
s270,TV Show,Title_270,Christopher Nolan,,2021-05-10,1999,TV-14,90 min
s271,Movie,Title_271,Christopher Nolan,,2021-05-10,2013,R,2 Seasons
s272,TV Show,Title_272,Raj Kumar,United States,2020-01-01,1995,,
s273,TV Show,Title_273,Raj Kumar,Canada,2021-05-10,1997,TV-MA,1 Season
s274,TV Show,Title_274,Raj Kumar,United States,2019-08-20,2018,,2 Seasons
s275,TV Show,Title_275,Christopher Nolan,UK,2019-08-20,2011,TV-MA,2 Seasons
s276,TV Show,Title_276,Raj Kumar,India,2020-01-01,2011,R,
s277,TV Show,Title_277,,Canada,,1995,TV-14,90 min
s278,Movie,Title_278,,United States,2020-01-01,2004,PG,2 Seasons
s279,TV Show,Title_279,Christopher Nolan,UK,,2023,R,90 min
s280,Movie,Title_280,,United States,2021-05-10,2000,TV-MA,90 min
s281,TV Show,Title_281,Raj Kumar,Canada,2020-01-01,2022,,90 min
s282,Movie,Title_282,Christopher Nolan,UK,2020-01-01,2013,R,90 min
s283,TV Show,Title_283,Christopher Nolan,India,2020-01-01,2007,TV-14,2 Seasons
s284,TV Show,Title_284,,UK,2020-01-01,1997,PG,1 Season
s285,TV Show,Title_285,Christopher Nolan,,2019-08-20,2015,,1 Season
s286,Movie,Title_286,,India,,2009,PG,
s287,TV Show,Title_287,,United States,2019-08-20,2021,,1 Season
s288,TV Show,Title_288,,,,2012,TV-MA,1 Season
s289,Movie,Title_289,,,2021-05-10,1995,,1 Season
s290,Movie,Title_290,Christopher Nolan,United States,2021-05-10,2009,TV-MA,90 min
s291,Movie,Title_291,,United States,2019-08-20,2023,TV-MA,2 Seasons
s292,TV Show,Title_292,Raj Kumar,Canada,,2011,PG,
s293,Movie,Title_293,,UK,,2018,,90 min
s294,Movie,Title_294,,,2019-08-20,2012,R,
s295,TV Show,Title_295,,United States,2021-05-10,1997,,1 Season
s296,TV Show,Title_296,Christopher Nolan,India,,2013,PG,1 Season
s297,Movie,Title_297,Anurag Kashyap,United States,2020-01-01,2018,PG,2 Seasons
s298,TV Show,Title_298,Christopher Nolan,UK,2019-08-20,2012,PG,1 Season
s299,Movie,Title_299,,,,2007,PG,1 Season
s300,TV Show,Title_300,,United States,,2009,TV-MA,
s301,TV Show,Title_301,,,2020-01-01,2019,R,1 Season
s302,TV Show,Title_302,Christopher Nolan,Canada,2020-01-01,1996,TV-MA,1 Season
s303,Movie,Title_303,,,2019-08-20,2009,PG,
s304,TV Show,Title_304,,UK,2020-01-01,2019,,90 min
s305,Movie,Title_305,Anurag Kashyap,Canada,,2016,PG,1 Season
s306,TV Show,Title_306,Anurag Kashyap,United States,2019-08-20,1995,,
s307,TV Show,Title_307,,Canada,,2017,R,2 Seasons
s308,TV Show,Title_308,,,2019-08-20,1999,TV-14,1 Season
s309,Movie,Title_309,Raj Kumar,Canada,2020-01-01,1996,TV-14,90 min
s310,TV Show,Title_310,Anurag Kashyap,UK,,2012,TV-MA,
s311,TV Show,Title_311,Raj Kumar,United States,2020-01-01,1999,PG,2 Seasons
s312,Movie,Title_312,Christopher Nolan,UK,2019-08-20,2015,TV-MA,90 min
s313,TV Show,Title_313,,Canada,,2014,PG,90 min
s314,Movie,Title_314,Christopher Nolan,,2020-01-01,1997,TV-MA,
s315,TV Show,Title_315,,UK,2020-01-01,2014,TV-14,
s316,Movie,Title_316,Anurag Kashyap,Canada,2020-01-01,2017,,2 Seasons
s317,TV Show,Title_317,Raj Kumar,United States,2019-08-20,2014,R,1 Season
s318,Movie,Title_318,Christopher Nolan,Canada,2020-01-01,2016,TV-14,2 Seasons
s319,TV Show,Title_319,,UK,,2012,TV-14,2 Seasons
s320,TV Show,Title_320,Anurag Kashyap,Canada,,1997,PG,2 Seasons
s321,TV Show,Title_321,Christopher Nolan,UK,,2016,R,2 Seasons
s322,TV Show,Title_322,Anurag Kashyap,,2019-08-20,2017,R,90 min
s323,Movie,Title_323,Christopher Nolan,,,2012,TV-14,
s324,TV Show,Title_324,Raj Kumar,,2020-01-01,1999,TV-14,90 min
s325,TV Show,Title_325,Anurag Kashyap,UK,2020-01-01,1996,PG,1 Season
s326,Movie,Title_326,Anurag Kashyap,United States,2021-05-10,2021,R,1 Season
s327,TV Show,Title_327,,UK,,2001,TV-14,1 Season
s328,TV Show,Title_328,,United States,2019-08-20,2018,PG,1 Season
s329,TV Show,Title_329,Raj Kumar,,2019-08-20,2010,TV-MA,2 Seasons
s330,Movie,Title_330,Anurag Kashyap,United States,2021-05-10,2011,,
s331,TV Show,Title_331,Christopher Nolan,United States,2020-01-01,2000,R,1 Season
s332,Movie,Title_332,Raj Kumar,UK,,2001,TV-MA,1 Season
s333,Movie,Title_333,Christopher Nolan,India,2019-08-20,2011,R,
s334,TV Show,Title_334,,,2020-01-01,2009,TV-MA,90 min
s335,TV Show,Title_335,Raj Kumar,UK,2021-05-10,1995,R,1 Season
s336,TV Show,Title_336,,,2019-08-20,1999,TV-MA,
s337,Movie,Title_337,,UK,2020-01-01,2007,TV-MA,1 Season
s338,TV Show,Title_338,,,2020-01-01,2019,TV-14,
s339,TV Show,Title_339,,UK,2021-05-10,2009,R,2 Seasons
s340,TV Show,Title_340,,India,2021-05-10,2006,,2 Seasons
s341,TV Show,Title_341,Anurag Kashyap,Canada,2020-01-01,1997,,90 min
s342,Movie,Title_342,,Canada,2021-05-10,2018,TV-MA,
s343,TV Show,Title_343,Raj Kumar,UK,,2020,TV-14,
s344,TV Show,Title_344,Raj Kumar,Canada,2021-05-10,2002,TV-14,
s345,TV Show,Title_345,Christopher Nolan,United States,,2022,,1 Season
s346,Movie,Title_346,,UK,,2021,,90 min
s347,Movie,Title_347,,Canada,2021-05-10,2011,,
s348,TV Show,Title_348,Anurag Kashyap,UK,2020-01-01,1998,R,1 Season
s349,TV Show,Title_349,Anurag Kashyap,,,1997,TV-MA,2 Seasons
s350,Movie,Title_350,,,2021-05-10,2002,TV-14,1 Season
s351,Movie,Title_351,Raj Kumar,United States,2021-05-10,2000,PG,
s352,TV Show,Title_352,Raj Kumar,India,2019-08-20,2013,TV-14,2 Seasons
s353,TV Show,Title_353,,UK,2019-08-20,1998,PG,
s354,TV Show,Title_354,,UK,,2013,PG,2 Seasons
s355,Movie,Title_355,Anurag Kashyap,,2019-08-20,2022,TV-14,90 min
s356,TV Show,Title_356,Anurag Kashyap,,,2021,TV-MA,1 Season
s357,TV Show,Title_357,,,2020-01-01,1997,PG,
s358,Movie,Title_358,Anurag Kashyap,Canada,2021-05-10,2021,,90 min
s359,TV Show,Title_359,Raj Kumar,Canada,2019-08-20,2022,TV-14,90 min
s360,Movie,Title_360,Anurag Kashyap,UK,2020-01-01,2001,PG,1 Season
s361,TV Show,Title_361,,,,2017,PG,1 Season
s362,TV Show,Title_362,Christopher Nolan,,,2014,PG,90 min
s363,Movie,Title_363,Christopher Nolan,UK,2020-01-01,2007,PG,1 Season
s364,Movie,Title_364,Raj Kumar,Canada,2019-08-20,2020,TV-MA,
s365,TV Show,Title_365,Anurag Kashyap,Canada,,2023,,1 Season
s366,Movie,Title_366,,UK,2021-05-10,2012,TV-MA,
s367,Movie,Title_367,Raj Kumar,India,2021-05-10,2020,TV-MA,1 Season
s368,Movie,Title_368,Christopher Nolan,Canada,2020-01-01,2023,TV-14,2 Seasons
s369,Movie,Title_369,Christopher Nolan,UK,2021-05-10,2023,R,1 Season
s370,Movie,Title_370,Anurag Kashyap,Canada,,2004,,90 min
s371,Movie,Title_371,,India,2019-08-20,2023,,90 min
s372,TV Show,Title_372,Christopher Nolan,United States,,2022,,90 min
s373,Movie,Title_373,,UK,2019-08-20,1998,TV-14,2 Seasons
s374,Movie,Title_374,Raj Kumar,India,2021-05-10,2022,TV-14,1 Season
s375,TV Show,Title_375,Raj Kumar,,2021-05-10,2004,R,2 Seasons
s376,TV Show,Title_376,Christopher Nolan,,2021-05-10,2021,TV-MA,1 Season
s377,TV Show,Title_377,,United States,,2021,PG,2 Seasons
